"letters";"n";"f"
"_A";5273;0,0121390290618439
"_B";2419;0,00556880548086486
"_C";2863;0,00659094257615382
"_D";3600;0,00828759806991049
"_E";140;0,000322295480496519
"_F";135;0,000310784927621644
"_G";98;0,000225606836347563
"_H";2114;0,00486666175549744
"_I";315;0,000725164831117168
"_J";5137;0,0118259420236473
"_K";3469;0,00798602158458875
"_L";884;0,00203506574827802
"_M";3138;0,00722402298427198
"_N";7095;0,0163334745294486
"_O";2551;0,00587268407676157
"_P";8649;0,01991095436296
"_Q";2;4,60422114995027e-06
"_R";2306;0,00530866698589267
"_S";8371;0,0192709676231169
"_T";5960;0,0137205790268518
"_U";1752;0,00403329772735644
"_V";5547;0,0127698073593871
"_W";31;7,13654278242293e-05
"_Y";5;1,15105528748757e-05
"_Z";4978;0,0114599064422262
"A_";11653;0,0268264945301853
"AA";20;4,60422114995027e-05
"AB";614;0,00141349589303473
"AC";1035;0,00238268444509927
"AD";1489;0,00342784264613798
"AE";2;4,60422114995027e-06
"AF";90;0,000207189951747762
"AG";49;0,000112803418173782
"AH";614;0,00141349589303473
"AI";89;0,000204887841172787
"AJ";613;0,00141119378245976
"AK";2442;0,00562175402408928
"AL";4043;0,00930743305462448
"AM";1666;0,00383531621790858
"AN";2080;0,00478838999594829
"AO";10;2,30211057497514e-05
"AP";552;0,00127076503738628
"AR";1303;0,0029996500791926
"AS";1899;0,00437170798187779
"AT";2269;0,00522348889461859
"AU";148;0,00034071236509632
"AV";1561;0,00359359460753619
"AW";1;2,30211057497514e-06
"AX";2;4,60422114995027e-06
"AY";1;2,30211057497514e-06
"AZ";1163;0,00267735459869608
"B_";35;8,05738701241298e-05
"BA";443;0,00101983498471399
"BC";14;3,22295480496519e-05
"BD";8;1,84168845998011e-05
"BE";837;0,00192686655125419
"BI";376;0,000865593576190652
"BJ";27;6,21569855243287e-05
"BK";27;6,21569855243287e-05
"BL";282;0,000649195182142989
"BM";3;6,90633172492541e-06
"BN";119;0,000273951158422041
"BO";866;0,00199362775792847
"BR";536;0,00123393126818667
"BS";22;5,0646432649453e-05
"BT";9;2,07189951747762e-05
"BU";461;0,00106127297506354
"BV";3;6,90633172492541e-06
"BY";1620;0,00372941913145972
"BZ";14;3,22295480496519e-05
"C_";745;0,00171507237835648
"CA";456;0,00104976242218866
"CB";1;2,30211057497514e-06
"CC";24;5,52506537994033e-05
